Time,Time Code,Country Name,Country Code,Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],Trade (% of GDP) [NE.TRD.GNFS.ZS],Gross national expenditure (% of GDP) [NE.DAB.TOTL.ZS],Gross savings (% of GDP) [NY.GNS.ICTR.ZS],Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],"Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]","Foreign direct investment, net outflows (% of GDP) [BM.KLT.DINV.WD.GD.ZS]",Final consumption expenditure (% of GDP) [NE.CON.TOTL.ZS],"Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]",Trade in services (% of GDP) [BG.GSR.NFSV.GD.ZS],"Services, value added (% of GDP) [NV.SRV.TOTL.ZS]","Manufacturing, value added (% of GDP) [NV.IND.MANF.ZS]","Population, total [SP.POP.TOTL]",GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]
2017,YR2017,Switzerland,CHE,66.34849029,57.27331731,123.6218076,90.92482702,31.82193418,26.04431434,20.60353782,7.815033722,64.88051268,24.21769432,37.9491181,72.09011659,17.49101995,8451840,0.421326163,1.362799557
2017,YR2017,Poland,POL,52.05568506,49.2255373,101.2812224,97.16985224,18.8863464,20.02119232,2.287086841,0.743365171,77.14865992,28.86240326,18.24465917,55.90661461,17.09098373,37974826,5.126896815,5.140017574
2017,YR2017,Sweden,SWE,43.73472193,41.2000275,84.93474943,97.46530557,28.53700383,25.7247096,4.541014296,7.357884512,71.74059597,22.12837188,25.92756277,65.08890414,13.04552945,10057698,1.195147571,2.567924525
2017,YR2017,Belgium,BEL,83.18241025,82.1434261,165.3258363,98.96101585,25.15490744,24.45641513,-7.416757538,-1.054201842,74.50460072,19.23536249,46.34711012,69.31069109,12.42911753,11375158,1.228866236,1.619580278
2017,YR2017,Ireland,IRL,121.0168834,98.98709685,220.0039803,78.69940188,34.35825186,34.57204936,17.3319584,0.878364436,44.12735252,35.93553711,123.2650355,55.18237552,31.88471742,4807388,7.825064259,9.005342424
2017,YR2017,Norway,NOR,36.73226499,32.37651677,69.10878176,95.64422168,33.86108468,27.5528324,1.468742781,0.820166371,68.09138928,30.49336719,22.4983385,56.28612775,6.47768065,5276968,1.639507145,2.463746285
2017,YR2017,Austria,AUT,54.05115314,50.88769179,104.9388449,96.83681751,26.34263296,24.8384193,3.23990498,2.422529343,71.99839821,25.41186777,29.47154045,62.56298193,16.84270767,8797566,1.550724086,2.258572433
2017,YR2017,Denmark,DNK,55.07737678,47.90201313,102.9793899,92.82463707,30.06155369,22.05306246,1.086132947,2.843505521,70.77157461,20.74323784,40.74666203,64.90632144,13.00935793,5764980,2.162355113,2.821736341
2017,YR2017,Russian Federation,RUS,26.09088098,20.78564336,46.87652434,94.69476238,25.66868513,23.60675586,1.814092981,2.334966653,71.08800652,30.67329689,9.300318891,56.03276847,12.31277213,144496739,1.709385694,1.825790064
2016,YR2016,Germany,DEU,46.07326285,38.69638311,84.76964597,92.62312026,28.60399495,19.96742952,1.865906917,3.225483325,72.65569074,27.56850648,17.57088456,61.77060936,20.66187307,82348669,1.408102075,2.229999868
2016,YR2016,United Kingdom,GBR,28.6504713,30.60574825,59.25621955,101.9552769,12.45024761,17.93868448,12.03163593,1.218978535,84.01659247,17.48371186,22.48474823,71.07275411,9.017880319,65611593,1.393848825,2.165206211
2016,YR2016,France,FRA,30.24753718,30.8526052,61.10014238,100.605068,22.00607565,22.60939274,1.326491698,3.018437123,77.99567527,17.43413205,20.05373172,70.50541844,10.28302305,66724104,0.829056665,1.095464404
2016,YR2016,Italy,ITA,29.32789075,26.03971207,55.36760281,96.71182132,20.19833285,17.56102831,1.366845175,0.72770998,79.15079301,21.21794438,10.99434302,66.64998218,14.79103387,60627498,1.465690444,1.293462732
2016,YR2016,Spain,ESP,33.8624576,29.87742503,63.73988263,96.01496743,21.91999801,18.74356167,3.587463923,4.591502748,77.27140575,19.99255218,15.90189089,67.92708315,11.26496294,46484062,2.950815909,3.037774142
2016,YR2016,Netherlands,NLD,79.53516476,69.32349997,148.8586647,89.78833521,27.5948086,20.48756453,30.74908592,37.12606075,69.30077068,17.6375087,39.28356509,70.21770711,10.85104971,17030314,1.649315547,2.191713719
2016,YR2016,Switzerland,CHE,66.81772593,56.74819859,123.5659245,89.93047251,33.65321279,25.5619284,24.2480735,26.62424988,64.36854412,24.08997921,36.71569313,72.25789171,17.33221321,8373338,0.960131673,2.068689667
2016,YR2016,Poland,POL,50.26831894,47.27161863,97.53993757,97.00329969,19.24953658,20.22237151,3.776398411,2.977291231,76.78092818,30.76804779,17.53184984,54.86635316,18.48489509,37970087,2.997773055,2.953508842
2016,YR2016,Sweden,SWE,42.69147827,39.62916682,82.32064509,96.93768855,27.09930926,24.71538705,3.033472415,0.24668266,72.2223015,21.71325637,25.71147948,65.46762639,13.1918666,9923085,0.7961463,2.070593151
2016,YR2016,Belgium,BEL,79.42961547,78.23541051,157.665026,98.80579504,24.81696636,24.25221229,12.08629548,7.258528987,74.55358274,19.28822027,44.95150024,69.37556341,12.35694408,11331422,0.755268919,1.266686409
2016,YR2016,Ireland,IRL,121.6955686,106.0423329,227.7379015,84.11085672,33.62272051,37.5888787,34.40947543,31.3270429,46.52197801,36.90441258,123.4509184,55.00361325,33.10622074,4755335,0.861643052,2.006654115
2016,YR2016,Norway,NOR,35.93817143,33.17867097,69.1168424,97.24056373,32.95305124,27.72642156,-5.032549751,1.767244455,69.51414217,28.53061663,24.21163086,57.93169846,6.669694018,5234519,0.277407784,1.164724235
2016,YR2016,Austria,AUT,52.40639365,48.57568463,100.9820783,96.16928259,27.11891832,24.25632596,-7.310916958,-6.799712539,71.91295663,25.47680498,28.08730979,62.60349078,17.04741463,8736668,0.89246914,1.989437162
2016,YR2016,Denmark,DNK,53.42598052,46.74284826,100.1688288,93.31686252,29.54503371,21.7753957,2.49237426,5.746000434,71.54146682,20.66861683,39.28896021,65.14936431,12.93418569,5728010,2.443368874,3.245956985
2016,YR2016,Russian Federation,RUS,25.85448298,20.66363686,46.51811984,94.80915389,25.01341228,23.09542247,2.548500001,1.747694914,71.71373141,29.17390507,9.809459549,57.01232515,11.7002791,144342397,0.01024792,0.193690072
2015,YR2015,Germany,DEU,46.92073836,39.32548626,86.24622461,92.4047479,28.31064498,19.74294325,1.860729182,3.897594188,72.66180465,27.10978858,17.34318723,62.1545645,20.34789735,81686611,0.617105353,1.491931528
2015,YR2015,United Kingdom,GBR,27.63032549,29.28269577,56.91302125,101.6523703,12.69780709,17.76477643,1.54465681,-2.05042348,83.88759384,17.99382404,21.21070014,70.57144255,9.219530681,65116219,1.584979389,2.393103184
2015,YR2015,France,FRA,30.59262238,31.15907156,61.75169393,100.5664492,22.25486926,22.71232406,1.755723741,2.100319835,77.85412512,17.67969171,20.04486359,70.20872149,10.43366363,66548272,0.754024352,1.112912341
2015,YR2015,Italy,ITA,29.71598237,26.70219379,56.41817616,96.98621746,18.53172897,17.10726702,0.724336604,0.839812878,79.87895044,20.85638428,10.96236837,66.97142305,14.39537139,60730582,0.875477402,0.778304351
2015,YR2015,Spain,ESP,33.61086067,30.57234448,64.18320514,96.96148381,21.00819065,18.98743335,1.925923719,4.709878427,77.97405045,20.07361153,15.35161761,67.99818568,11.29402685,46444832,3.919117265,3.838518877
2015,YR2015,Netherlands,NLD,82.65889671,75.15767933,157.816576,92.49878262,27.6781319,22.47495681,43.48723168,51.37966148,70.02382581,18.18602103,46.01229275,70.0646949,10.80175882,16939923,1.508266184,1.959169721
